matchup_id,year,week,home_team_id,home_score,away_team_id,away_score,is_playoff,matchup_type
1309,2018,4,5,137.5,2,142.68,0,NONE
1310,2018,4,7,163.08,12,188.46,0,NONE
1311,2018,4,9,143.82,10,163.92,0,NONE
1312,2018,4,8,100.34,6,168.36,0,NONE
1313,2018,5,3,112.8,4,152.4,0,NONE
1314,2018,5,11,159.2,5,165.84,0,NONE
1315,2018,5,1,144.08,2,110.04,0,NONE
1316,2018,5,9,113.54,7,107.22,0,NONE
1317,2018,5,12,179.74,8,112.4,0,NONE
1318,2018,5,10,141.94,6,162.92,0,NONE
1319,2018,6,4,173.1,7,140.14,0,NONE
1320,2018,6,5,97.48,8,101.48,0,NONE
1321,2018,6,2,116.42,6,151.98,0,NONE
1322,2018,6,1,155.6,10,194.32,0,NONE
1323,2018,6,11,114.16,12,150.6,0,NONE
1324,2018,6,3,157.44,9,166.7,0,NONE
1325,2018,7,7,160.12,5,136.14,0,NONE
1326,2018,7,8,127.36,2,91.04,0,NONE
1327,2018,7,6,183.54,1,178.66,0,NONE
1328,2018,7,10,152.4,11,51.7,0,NONE
1329,2018,7,12,117.78,3,142.34,0,NONE
1330,2018,7,9,114.08,4,109.46,0,NONE
1331,2018,8,2,68.96,7,150.2,0,NONE
1332,2018,8,1,140.96,8,129.06,0,NONE
1333,2018,8,11,167.28,6,173.52,0,NONE
1334,2018,8,3,170.46,10,137.44,0,NONE
1335,2018,8,4,138.8,12,103.36,0,NONE
1336,2018,8,5,107.72,9,112.4,0,NONE
1337,2018,9,7,112.3,1,106.78,0,NONE
1338,2018,9,8,163.72,11,111.28,0,NONE
1339,2018,9,6,169.2,3,156.92,0,NONE
1340,2018,9,10,94.54,4,134.0,0,NONE
1341,2018,9,12,156.56,5,111.0,0,NONE
1342,2018,9,9,136.14,2,97.86,0,NONE
1343,2018,10,11,152.96,7,137.3,0,NONE
1344,2018,10,3,119.14,8,130.12,0,NONE
1345,2018,10,4,135.8,6,157.16,0,NONE
1346,2018,10,5,172.12,10,158.4,0,NONE
1347,2018,10,2,94.1,12,130.76,0,NONE
1348,2018,10,1,119.22,9,119.56,0,NONE
1349,2018,11,7,141.5,3,152.08,0,NONE
1350,2018,11,8,133.9,4,102.24,0,NONE
1351,2018,11,6,143.32,5,108.34,0,NONE
1352,2018,11,10,183.14,2,84.08,0,NONE
1353,2018,11,12,68.72,1,168.38,0,NONE
1354,2018,11,9,142.42,11,120.86,0,NONE
1355,2018,12,7,143.92,4,77.1,0,NONE
1356,2018,12,8,174.02,5,107.46,0,NONE
1357,2018,12,6,191.04,2,91.38,0,NONE
1358,2018,12,10,149.14,1,158.34,0,NONE
1359,2018,12,12,120.98,11,130.78,0,NONE
1360,2018,12,9,124.02,3,167.52,0,NONE
1361,2018,13,6,303.88,7,215.68,1,WINNERS_BRACKET
1362,2018,13,1,268.9,8,285.24,1,WINNERS_BRACKET
1363,2018,13,12,269.78,9,212.02,1,LOSERS_CONSOLATION_LADDER
1364,2018,13,4,238.66,5,240.62,1,LOSERS_CONSOLATION_LADDER
1365,2018,13,3,294.12,10,294.16,1,LOSERS_CONSOLATION_LADDER
1366,2018,13,11,244.32,2,217.96,1,LOSERS_CONSOLATION_LADDER
1367,2018,14,6,313.34,8,309.24,1,WINNERS_BRACKET
1368,2018,14,1,251.58,7,249.24,1,WINNERS_CONSOLATION_LADDER
1369,2018,14,12,271.06,5,187.36,1,LOSERS_CONSOLATION_LADDER
1370,2018,14,9,267.34,10,156.2,1,LOSERS_CONSOLATION_LADDER
1371,2018,14,4,224.9,11,254.3,1,LOSERS_CONSOLATION_LADDER
1372,2018,14,3,232.46,2,219.42,1,LOSERS_CONSOLATION_LADDER
1373,2017,1,3,146.24,6,158.04,0,NONE
1374,2017,1,4,129.98,2,115.34,0,NONE
1375,2017,1,9,128.06,7,106.7,0,NONE
1376,2017,1,1,108.82,5,136.94,0,NONE
1377,2017,1,10,118.78,8,114.02,0,NONE
1378,2017,2,2,149.74,7,99.86,0,NONE
1379,2017,2,5,128.28,3,156.62,0,NONE
1380,2017,2,8,108.62,6,134.12,0,NONE
1381,2017,2,1,113.92,4,131.48,0,NONE
1382,2017,2,10,98.06,9,123.8,0,NONE
1383,2017,3,5,157.66,8,124.7,0,NONE
1384,2017,3,2,149.5,1,127.9,0,NONE
1385,2017,3,7,117.16,10,78.38,0,NONE
1386,2017,3,3,132.36,4,148.42,0,NONE
1387,2017,3,6,129.92,9,114.74,0,NONE
1388,2017,4,1,151.04,10,93.58,0,NONE
1389,2017,4,4,130.08,5,75.38,0,NONE
1390,2017,4,9,96.18,8,170.5,0,NONE
1391,2017,4,3,143.98,2,142.62,0,NONE
1392,2017,4,6,133.96,7,126.86,0,NONE
1393,2017,5,4,119.12,9,97.9,0,NONE
1394,2017,5,1,149.1,3,159.36,0,NONE
1395,2017,5,10,119.06,6,171.94,0,NONE
1396,2017,5,5,71.4,2,129.6,0,NONE
1397,2017,5,8,128.62,7,128.34,0,NONE
1398,2017,6,6,96.92,2,129.54,0,NONE
1399,2017,6,7,110.3,5,83.62,0,NONE
1400,2017,6,8,147.04,1,128.16,0,NONE
1401,2017,6,10,120.24,4,130.48,0,NONE
1402,2017,6,9,165.48,3,163.38,0,NONE
1403,2017,7,5,109.82,6,141.62,0,NONE
1404,2017,7,1,152.44,7,125.72,0,NONE
1405,2017,7,4,117.76,8,142.28,0,NONE
1406,2017,7,3,112.78,10,171.42,0,NONE
1407,2017,7,2,109.54,9,130.02,0,NONE
1408,2017,8,6,117.02,1,132.66,0,NONE
1409,2017,8,7,120.22,4,131.32,0,NONE
